decimalLongitude,decimalLatitude,status
-88.45768,17.307388,1
-89.265723,16.593555,1
-88.436561,16.550117,1
-87.561605,21.317054,1
-89.957683,17.447581,1
-90.193803,17.44768,1
-89.326363,17.456349,1
-87.647551000000007,20.127462,1
-92.077211,17.799465,1
-88.679116,17.161308,1
-88.455123,18.598649,1
-89.57698,18.498705,1
-89.754258,18.476563,1
-88.451444,20.592092,1
-91.175049,18.94267,1
-87.043933,20.874825,1
-88.896737,17.136215,1
-88.896555,17.136068,1
-89.432309,18.880792,1
-87.586212,20.632807,1
-88.551369,17.351119,1
-88.897985,17.138085,1
-88.957419,17.449832,1
-87.489678,20.897295,1
-91.931917,17.443685,1
-86.902657,20.844334,1
-91.145713,16.84194,1
-89.81488,18.158459,1
-89.846298,18.25129,1
-89.415526,20.304482,1
-88.430676,17.279068,1
-88.548202,17.770119,1
-87.136737,20.71083,1
-91.510627,18.212456,1
-88.494603,18.531454,1
-88.30706,19.186363,1
-87.168242,20.963611,1
-89.062636,17.149936,1
-88.444064,20.591477,1
-91.958278,17.531634,1
-89.241928,20.161395,1
-89.392894,18.532343,1
-91.885915,17.637681,1
-90.461406,19.079371,1
-89.395556,17.914266,1
-88.452653,20.591715,1
-87.167136,20.908145,1
-89.75257,18.238961,1
-89.777264,18.234568,1
-89.798889,18.232164,1
-89.807882,18.220397,1
-89.800591,18.214057,1
-89.783298,18.224895,1
-89.815138,18.259318,1
-89.816688,18.157055,1
-91.8526,17.537108,1
-89.816225,18.500423,1
-90.918651,18.2753,1
-90.760715,18.502055,1
-90.744621,18.584627,1
-87.151449,20.861413,1
-88.982958,16.742455,1
-88.790505,17.16754,1
-88.309252,17.881215,1
-87.343144,20.974417,1
-91.855502,17.702277,1
-89.125436,17.038501,1
-91.85053,17.541046,1
-89.488535,18.406547,1
-89.03515,17.63621,1
-88.775668,17.259886,1
-88.782712,17.259688,1
-88.385823,17.248597,1
-88.429113,17.665272,1
-89.658254,20.898199,1
-88.9689,17.63553,1
-89.390372,20.078403,1
-88.598277,17.292337,1
-88.2635,18.543681,1
-87.086936,20.87017,1
-96.944039,19.512094,1
-92.2732,14.989303,1
-91.291244,18.376793,1
-89.129126,18.662186,1
-89.444065,18.514176,1
-88.429671,16.606098,1
-90.643278,18.917758,1
-90.807611,18.61285,1
-91.545994,17.658239,1
-88.028889,19.466389,1
-87.000767,20.859575,1
-89.143106,20.0936,1
-88.53175,20.652086,1
-92.567783,17.777472,1
-89.721306,18.523428,1
-88.337717,19.373527,1
-88.695833,17.582778,1
-88.695833,17.582778,1
-88.202778,18.980833,1
-88.202778,18.980833,1
-89,19.57556,1
-89,19.57556,1
-89.02917,19.62139,1
-91.990278,17.479444,1
-91.504217,17.459017,1
-91.5675,17.23528,1
-91.079722,18.7325,1
-88.507778,20.644444,1
-88.465278,20.645833,1
-88.465278,20.645833,1
-88.484444,18.518611,1
-88.484444,18.518611,1
-88.084444,19.300278,1
-90.719167,19.1525,1
-88.917222,20.435278,1
-88.084444,19.300278,1
-88.084444,19.300278,1
-89.108333,20.091667,1
-90.719167,19.1525,1
-90.719167,19.1525,1
-89.968056,18.534722,1
-87.134444,21.017222,1
-87.134444,21.017222,1
-88.40111,18.51861,1
-89.968055,18.534722,1
-88.084444,19.300278,1
-89.968055,18.534722,1
-90.719167,19.1525,1
-87.134444,21.017222,1
-90.719167,19.1525,1
-88.484444,18.518611,1
-90.719167,19.1525,1
-89.108333,20.091667,1
-90.719167,19.1525,1
-87.134444,21.017222,1
-90.719167,19.1525,1
-88.084444,19.300278,1
-89.968055,18.534722,1
-89.968056,18.534722,1
-88.084444,19.300278,1
-88.484444,18.518611,1
-89.1,20.083611,1
-89.968056,18.534722,1
-90.719167,19.1525,1
-89.1,20.083611,1
-89.108333,20.091667,1
-89.10167,20.08361,1
-88.484444,18.518611,1
-90.719167,19.1525,1
-88.917222,20.433333,1
-89.968055,18.534722,1
-87.134444,21.017222,1
-88.917222,20.433333,1
-88.484444,18.518611,1
-88.917222,20.433333,1
-88.484444,18.518611,1
-88.484444,18.518611,1
-90.71917,19.1525,1
-89.1,20.083611,1
-90.719167,19.1525,1
-87.134444,21.017222,1
-88.917222,20.435278,1
-89.1,20.083611,1
-88.484444,18.518611,1
-90.719167,19.1525,1
-88.484444,18.518611,1
-89.438889,18.25,1
-91.648489,17.826264,1
-89.321667,19.423,1
-88.915,16.518056,1
-88.915,16.518056,1
-96.943611,19.513056,1
-96.943611,19.513056,1
-96.943611,19.513056,1
-92.075,17.608333,1
-91.991667,17.525,1
-91.933333,17.5,1
-87.9,18.966667,1
-87.9,18.966667,1
-89.417,19.75,1
-89.416667,19.75,1
-89.417,19.75,1
-88.9,20.4125,1
-88.5,17.383333,1
-89.103056,17.118611,1
-89.103056,17.118611,1
-89.103056,17.118611,1
-89.103056,17.118611,1
-88.5,17.383333,1
-89.103056,17.118611,1
-88.33,17.916667,1
-88.36667,17.75,1
-88.33333,17.91667,1
-88.533333,17.95,1
-88.380556,16.792222,1
-88.95,17.05,1
-89.052222,16.103056,1
-88.767222,17.251389,1
-88.533333,17.95,1
-88.380556,16.792222,1
-88.95,17.05,1
-88.95,17.05,1
-88.95,17.05,1
-89.052222,16.103056,1
-89.052222,16.103056,1
-89.052222,16.103056,1
-88.767222,17.251389,1
-88.727622,17.975183,1
-88.7,18,1
-89,17.08333,1
-89.080022,17.15205,1
-89.036258,17.307989,1
-88.124503,20.416992,1
-88.046908,20.41809,1
-88.040039,20.411411,1
-88.046908,20.41809,1
-88.124503,20.416992,1
-88.0467492,20.4186914,1
-88.046908,20.41809,1
-88.046908,20.41809,1
-88.0467492,20.4186914,1
-88.040039,20.411411,1
-88.046908,20.41809,1
-88.040039,20.411411,1
-88.046958,20.399469,1
-88.046908,20.41809,1
-88.046908,20.41809,1
-88.0467492,20.4186914,1
-88.046908,20.41809,1
-88.040039,20.411411,1
-88.046908,20.41809,1
-88.401144,16.520425,1
-88.881944,17.965278,1
-88.868542,17.943239,1
-90.793056000000007,17.891667,1
-90.8,17.883333,1
-90.8,18.61,1
-88.233333,20.702778,1
-88.233333,20.702778,1
-88.491667,20.808333,1
-90.313611,19.011111,1
-87.062369,20.864633,1
-87.036772,20.860825,1
-89.033333,20.061111,1
-89.033333,20.061111,1
-88.283333,18.5,1
-90.797222,18.612222,1
-90.733333,18.616667,1
-88.305278,18.503611,1
-89.041667,20.075,1
-88.338889,18.505556,1
-88.391944,18.676944,1
-88.338889,18.505556,1
-90.797222,18.612222,1
-89.358333,20.258333,1
-91.0025,17.761389,1
-89,16.745892,1
-88.955,17.0389,1
-91.5354842,17.8076577,1
-89.893742,16.918181,1
-89.675556,16.661389,1
-88.802542,17.232253,1
-88.9879,16.9703,1
-88.983303,16.966425,1
-88.953269,17.034506,1
-90.765878,18.609906,1
-91.120764,17.374331,1
-90.71917,19.1525,1
-88.507778,20.644444,1
-88.349167,17.926944,1
-90.71917,19.1525,1
-89.25,19.25,0
-93.75,16.25,0
-101.75,24.25,0
-90.75,15.75,0
-98.75,21.25,0
-93.75,17.75,0
-87.25,14.25,0
-96.25,15.75,0
-90.75,16.75,0
-86.25,14.75,0
-90.25,16.25,0
-89.75,16.25,0
-97.25,20.25,0
-99.25,21.25,0
-98.25,20.75,0
-94.25,17.25,0
-92.75,15.25,0
-101.75,18.75,0
-91.75,14.75,0
-101.75,21.25,0
-97.75,21.25,0
-99.75,20.75,0
-98.75,23.75,0
-97.75,16.25,0
-100.25,24.25,0
-89.25,17.25,0
-88.75,15.75,0
-99.75,24.25,0
-85.75,12.25,0
-83.75,12.75,0
-86.25,13.75,0
-96.75,18.25,0
-97.75,24.25,0
-97.75,18.75,0
-95.75,17.25,0
-88.25,21.25,0
-93.25,16.25,0
-90.75,19.25,0
-92.25,16.75,0
-84.75,13.25,0
-99.75,18.75,0
-88.75,20.75,0
-87.25,13.75,0
-98.25,17.75,0
-84.25,22.25,0
-88.75,19.75,0
-98.25,19.75,0
-99.25,18.75,0
-94.25,16.25,0
-85.75,14.75,0
-99.25,20.25,0
-92.75,16.75,0
-92.75,18.25,0
-98.75,19.25,0
-92.75,15.75,0
-89.75,19.75,0
-100.25,21.75,0
-87.75,15.75,0
-87.75,15.25,0
-98.25,21.25,0
-84.75,14.75,0
-88.25,19.25,0
-87.75,21.25,0
-98.25,16.25,0
-86.75,15.75,0
-83.75,22.75,0
-89.75,15.75,0
-94.75,17.25,0
-99.75,19.75,0
-90.75,14.75,0
-85.25,15.25,0
-84.25,15.75,0
-86.25,13.25,0
-88.75,18.25,0
-88.25,18.25,0
-98.75,22.25,0
-87.25,15.75,0
-99.25,22.75,0
-91.25,17.25,0
-98.75,18.25,0
-88.25,14.25,0
-91.75,18.25,0
-94.25,16.75,0
-85.75,13.25,0
-89.75,18.25,0
-86.75,13.25,0
-90.25,19.75,0
-96.25,16.25,0
-97.25,17.25,0
-101.75,21.75,0
-85.75,13.75,0
-95.25,17.75,0
-100.75,17.25,0
-95.75,18.25,0
-90.75,16.25,0
-97.75,17.25,0
-87.25,14.75,0
-84.75,12.75,0
-100.25,17.75,0
-93.25,17.75,0
-99.25,19.25,0
-87.25,12.75,0
-91.25,18.75,0
-85.25,12.25,0
-92.75,17.25,0
-97.25,18.75,0
-82.75,22.75,0
-85.75,15.75,0
-89.75,13.75,0
-84.75,12.25,0
-95.75,16.25,0
-92.25,15.25,0
-100.75,20.75,0
-86.75,15.25,0
-90.25,15.75,0
-99.25,23.75,0
-90.25,16.75,0
-88.75,16.25,0
-86.75,14.25,0
-98.75,18.75,0
-100.25,20.75,0
-86.75,14.75,0
-91.75,15.75,0
-97.75,19.75,0
-96.75,16.75,0
-92.25,18.25,0
-92.25,17.75,0
-91.25,16.75,0
-89.75,20.25,0
-96.75,19.25,0
-92.25,17.25,0
-89.25,17.75,0
-89.25,13.75,0
-89.75,14.75,0
-83.75,22.25,0
-88.75,15.25,0
-101.25,24.25,0
-89.25,14.25,0
-100.25,17.25,0
-87.75,14.75,0
-86.75,12.25,0
-83.75,12.25,0
-96.75,17.25,0
-100.25,19.75,0
-97.25,16.25,0
-100.75,24.25,0
-96.25,17.75,0
-98.25,22.75,0
-89.75,17.25,0
-98.25,23.75,0
-101.25,21.25,0
-85.75,15.25,0
-101.25,20.25,0
-90.75,15.25,0
-87.25,20.75,0
-99.25,23.25,0
-85.75,14.25,0
-89.25,15.25,0
-100.75,19.25,0
-83.75,15.25,0
-88.75,13.25,0
-88.25,20.25,0
-101.25,22.25,0
-96.75,16.25,0
-87.75,19.75,0
-99.25,17.25,0
-86.75,13.75,0
-98.75,24.25,0
-100.75,21.25,0
-89.25,16.25,0
-99.75,21.75,0
-101.25,19.75,0
-89.25,18.75,0
-90.25,20.25,0
-100.75,19.75,0
-85.25,12.75,0
-91.75,15.25,0
-98.25,21.75,0
-101.75,20.25,0
-98.25,19.25,0
-99.25,19.75,0
-96.75,19.75,0
-84.25,13.75,0
-91.75,16.75,0
-99.25,22.25,0
-83.75,14.25,0
-88.75,18.75,0
-89.25,20.25,0
-98.25,16.75,0
-97.75,20.75,0
-97.25,18.25,0
-101.75,23.75,0
-88.75,20.25,0
-97.25,16.75,0
-100.25,19.25,0
-96.75,17.75,0
-86.25,12.75,0
-96.75,18.75,0
-84.75,14.25,0
-86.25,14.25,0
-87.75,20.25,0
-88.25,17.75,0
-99.25,16.75,0
-101.75,17.75,0
-95.75,16.75,0
-91.75,17.75,0
-82.25,22.75,0
-95.25,16.75,0
-84.25,13.25,0
-100.25,18.25,0
-95.25,17.25,0
-100.25,23.25,0
-99.75,19.25,0
-88.25,20.75,0
-97.75,19.25,0
-89.75,16.75,0
-95.75,18.75,0
-97.75,16.75,0
-100.75,20.25,0
-88.75,13.75,0
-100.75,17.75,0
-100.75,21.75,0
-89.25,14.75,0
-84.25,14.25,0
-97.75,21.75,0
-87.25,13.25,0
-98.25,18.75,0
-88.75,21.25,0
-91.25,14.75,0
-84.75,15.75,0
-97.75,18.25,0
-99.75,16.75,0
-88.25,19.75,0
-91.25,15.25,0
-89.25,20.75,0
-101.25,17.75,0
-101.25,22.75,0
-97.25,19.25,0
-90.25,14.25,0
-101.25,19.25,0
-89.75,19.25,0
-93.75,17.25,0
-88.75,14.75,0
-91.75,14.25,0
-90.75,17.75,0
-100.75,22.75,0
-96.25,19.25,0
-101.75,23.25,0
-98.75,16.75,0
-98.25,18.25,0
-98.75,19.75,0
-99.25,18.25,0
-83.75,13.25,0
-92.25,16.25,0
-94.75,18.25,0
-93.25,15.75,0
-88.25,13.25,0
-91.75,17.25,0
-98.75,20.75,0
-87.75,18.75,0
-88.25,13.75,0
-94.25,17.75,0
-95.25,18.25,0
-87.25,15.25,0
-94.75,16.75,0
-94.75,17.75,0
-99.75,21.25,0
-100.25,23.75,0
-100.25,21.25,0
-93.25,16.75,0
-101.25,18.25,0
